admin3_pcode,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,fatalities,score_i,index_battles,index_explosions_remote_violence,index_violence_against_civilians,index_fatalities,index_strategic_developments,index_protests_and_riots,env_battles,env_explosions_remote_violence,env_violence_against_civilians,env_fatalities,score_env,admin1,admin3,partners,beneficiaries
MMR005004,5,14,13,32,25,55,0.23132166863818684,0.03267973856209149,0.1818181818181818,0.5208333333333334,0.10185185185185185,0.3440860215053764,0.37142857142857144,0.032679738562091505,0.18181818181818182,0.5208333333333334,0.10185185185185185,0.20929577639136465,Sagaing,Shwebo,2,2857
MMR005005,30,23,2,43,43,179,0.3188169551971124,0.196078431372549,0.29870129870129863,0.8958333333333333,0.3314814814814815,0.46236559139784955,0.05714285714285715,0.19607843137254902,0.2987012987012987,0.8958333333333334,0.3314814814814815,0.4305236362221656,Sagaing,Khin-U,2,2691
MMR005006,10,15,1,32,16,77,0.15183640037891,0.06535947712418298,0.19480519480519476,0.33333333333333337,0.1425925925925926,0.3440860215053764,0.028571428571428574,0.06535947712418301,0.19480519480519481,0.3333333333333333,0.1425925925925926,0.18402264946382593,Sagaing,Wetlet,2,1982
MMR005007,7,12,1,17,12,16,0.09207634226751396,0.045751633986928095,0.1558441558441558,0.25000000000000006,0.029629629629629634,0.18279569892473121,0.028571428571428574,0.0457516339869281,0.15584415584415584,0.25,0.02962962962962963,0.12030635486517839,Sagaing,Kanbalu,NA,NA
MMR005008,2,3,0,8,7,64,0.05844291866717362,0.013071895424836598,0.03896103896103897,0.14583333333333334,0.11851851851851852,0.08602150537634409,0,0.013071895424836602,0.03896103896103896,0.14583333333333334,0.11851851851851852,0.07909619655943186,Sagaing,Kyunhla,NA,NA
MMR005009,7,19,0,24,15,92,0.14105478770191193,0.045751633986928095,0.24675324675324672,0.3125,0.1703703703703704,0.25806451612903225,0,0.0457516339869281,0.24675324675324675,0.3125,0.17037037037037037,0.19384381277763632,Sagaing,Ye-U,NA,NA
MMR005010,21,33,1,52,17,295,0.30423228699967503,0.13725490196078427,0.42857142857142855,0.35416666666666674,0.5462962962962963,0.5591397849462366,0.028571428571428574,0.13725490196078433,0.42857142857142855,0.3541666666666667,0.5462962962962963,0.366572323373794,Sagaing,Tabayin,1,2228
MMR005011,9,44,1,31,36,147,0.27134840554634115,0.0588235294117647,0.5714285714285714,0.75,0.2722222222222222,0.33333333333333337,0.028571428571428574,0.058823529411764705,0.5714285714285714,0.75,0.2722222222222222,0.41311858076563956,Sagaing,Taze,1,1327
MMR005012,24,60,13,51,48,151,0.4491456393528521,0.15686274509803919,0.7792207792207791,1,0.2796296296296296,0.5483870967741936,0.37142857142857144,0.1568627450980392,0.7792207792207793,1,0.2796296296296296,0.5539282884871121,Sagaing,Monywa,NA,NA
MMR005013,4,20,0,13,12,21,0.091309929712035,0.026143790849673196,0.2597402597402597,0.25000000000000006,0.038888888888888896,0.13978494623655915,0,0.026143790849673203,0.2597402597402597,0.25,0.03888888888888889,0.14369323486970545,Sagaing,Budalin,NA,NA
MMR005014,11,25,0,20,11,73,0.1349437904498207,0.07189542483660129,0.3246753246753246,0.22916666666666669,0.13518518518518519,0.21505376344086025,0,0.0718954248366013,0.3246753246753247,0.22916666666666666,0.13518518518518519,0.19023065034094444,Sagaing,Ayadaw,NA,NA
MMR005015,7,12,1,11,7,77,0.09499665825414018,0.045751633986928095,0.1558441558441558,0.14583333333333334,0.1425925925925926,0.11827956989247312,0.028571428571428574,0.0457516339869281,0.15584415584415584,0.14583333333333334,0.1425925925925926,0.12250542893925248,Sagaing,Chaung-U,NA,NA
MMR005016,40,30,5,37,22,310,0.35264904944957803,0.26143790849673193,0.3896103896103895,0.45833333333333337,0.5740740740740741,0.39784946236559143,0.14285714285714285,0.26143790849673204,0.38961038961038963,0.4583333333333333,0.5740740740740741,0.42086392637863224,Sagaing,Yinmarbin,1,1932
MMR005017,58,33,0,57,29,362,0.41402168615969503,0.37908496732026137,0.42857142857142855,0.6041666666666667,0.6703703703703704,0.6129032258064516,0,0.3790849673202614,0.42857142857142855,0.6041666666666666,0.6703703703703704,0.5205483582321818,Sagaing,Kani,1,4904
MMR005018,2,17,0,1,9,61,0.07643692635239269,0.013071895424836598,0.22077922077922074,0.1875,0.11296296296296296,0.010752688172043019,0,0.013071895424836602,0.22077922077922077,0.1875,0.11296296296296296,0.13357851979175508,Sagaing,Salingyi,NA,NA
MMR005019,39,41,0,17,16,363,0.3185781811688067,0.25490196078431365,0.5324675324675324,0.33333333333333337,0.6722222222222224,0.18279569892473121,0,0.2549019607843137,0.5324675324675324,0.3333333333333333,0.6722222222222223,0.44823126220185044,Sagaing,Pale,1,4594
MMR005020,30,10,0,21,1,250,0.18100745284833591,0.196078431372549,0.12987012987012986,0.020833333333333336,0.46296296296296297,0.22580645161290325,0,0.19607843137254902,0.12987012987012986,0.020833333333333332,0.46296296296296297,0.2024362143847438,Sagaing,Katha,NA,NA
MMR005021,3,5,2,2,1,15,0.03534677602057302,0.019607843137254898,0.06493506493506494,0.020833333333333336,0.027777777777777776,0.021505376344086023,0.05714285714285715,0.0196078431372549,0.06493506493506493,0.020833333333333332,0.027777777777777776,0.03328850479585774,Sagaing,Indaw,NA,NA
MMR005022,12,22,0,13,8,252,0.18190106845576132,0.07843137254901959,0.2857142857142857,0.16666666666666669,0.4666666666666667,0.13978494623655915,0,0.0784313725490196,0.2857142857142857,0.16666666666666666,0.4666666666666667,0.24936974789915967,Sagaing,Tigyaing,NA,NA
MMR005024,12,12,3,14,9,270,0.1947363908409376,0.07843137254901959,0.1558441558441558,0.1875,0.5,0.15053763440860216,0.08571428571428572,0.0784313725490196,0.15584415584415584,0.1875,0.5,0.23044388209829386,Sagaing,Kawlin,NA,NA
MMR005025,0,2,0,1,1,6,0.009116156005278124,0,0.025974025974025983,0.020833333333333336,0.011111111111111112,0.010752688172043019,0,0,0.025974025974025976,0.020833333333333332,0.011111111111111112,0.014479617604617606,Sagaing,Wuntho,NA,NA
MMR005026,12,3,1,3,4,102,0.08020867923339095,0.07843137254901959,0.03896103896103897,0.08333333333333334,0.18888888888888888,0.03225806451612904,0.028571428571428574,0.0784313725490196,0.03896103896103896,0.08333333333333333,0.18888888888888888,0.0974036584330702,Sagaing,Pinlebu,NA,NA
MMR005027,51,44,8,93,42,537,0.6108640843380558,0.33333333333333326,0.5714285714285714,0.875,0.9944444444444446,1,0.2285714285714286,0.3333333333333333,0.5714285714285714,0.875,0.9944444444444445,0.6935515873015873,Sagaing,Kale,NA,NA
MMR005028,2,2,0,4,0,30,0.022085339191539526,0.013071895424836598,0.025974025974025983,0,0.05555555555555556,0.043010752688172046,0,0.013071895424836602,0.025974025974025976,0,0.05555555555555555,0.023650369238604533,Sagaing,Kalewa,NA,NA
MMR005029,34,7,0,31,26,274,0.26515448289092003,0.22222222222222218,0.0909090909090909,0.5416666666666667,0.5074074074074074,0.33333333333333337,0,0.2222222222222222,0.09090909090909091,0.5416666666666666,0.5074074074074074,0.3405513468013468,Sagaing,Mingin,NA,NA
MMR005030,13,4,2,7,10,130,0.11955712852827154,0.0849673202614379,0.051948051948051945,0.20833333333333331,0.24074074074074073,0.07526881720430108,0.05714285714285715,0.08496732026143791,0.05194805194805195,0.20833333333333334,0.24074074074074073,0.14649736157089097,Sagaing,Tamu,NA,NA
MMR005031,0,1,0,0,0,0,0.0016082352688958036,0,0.012987012987012991,0,0,0,0,0,0.012987012987012988,0,0,0.003246753246753247,Sagaing,Mawlaik,NA,NA
MMR005032,0,0,0,1,0,0,0.001197720189975998,0,0,0,0,0.010752688172043019,0,0,0,0,0,0,Sagaing,Paungbyin,NA,NA
MMR005033,4,2,2,4,1,8,0.031829447427476426,0.026143790849673196,0.025974025974025983,0.020833333333333336,0.014814814814814814,0.043010752688172046,0.05714285714285715,0.026143790849673203,0.025974025974025976,0.020833333333333332,0.014814814814814815,0.02194149124296183,Sagaing,Hkamti,NA,NA
MMR005034,9,4,2,6,8,16,0.0652842111429552,0.0588235294117647,0.051948051948051945,0.16666666666666669,0.029629629629629634,0.06451612903225808,0.05714285714285715,0.058823529411764705,0.05194805194805195,0.16666666666666666,0.02962962962962963,0.07676696941402823,Sagaing,Homalin,NA,NA
MMR005037,1,0,0,0,0,6,0.003714288764215227,0.006535947712418299,0,0,0.011111111111111112,0,0,0.006535947712418301,0,0,0.011111111111111112,0.004411764705882353,Sagaing,Nanyun,2,3623
MMR006001,11,7,18,35,16,53,0.2405108966767509,0.07189542483660129,0.0909090909090909,0.33333333333333337,0.09814814814814815,0.3763440860215054,0.5142857142857142,0.0718954248366013,0.09090909090909091,0.3333333333333333,0.09814814814814815,0.14857149930679342,Tanintharyi,Dawei,1,50
MMR006002,4,4,2,24,16,32,0.10514862958759633,0.026143790849673196,0.051948051948051945,0.33333333333333337,0.05925925925925926,0.25806451612903225,0.05714285714285715,0.026143790849673203,0.05194805194805195,0.3333333333333333,0.05925925925925926,0.11767110884757942,Tanintharyi,Launglon,NA,NA
MMR006003,7,1,0,12,9,30,0.0599174150558596,0.045751633986928095,0.012987012987012991,0.1875,0.05555555555555556,0.12903225806451615,0,0.0457516339869281,0.012987012987012988,0.1875,0.05555555555555555,0.07544855063237416,Tanintharyi,Thayetchaung,1,4097
MMR006004,1,5,2,14,7,20,0.06348381038453674,0.006535947712418299,0.06493506493506494,0.14583333333333334,0.037037037037037035,0.15053763440860216,0.05714285714285715,0.006535947712418301,0.06493506493506493,0.14583333333333334,0.037037037037037035,0.0635853457544634,Tanintharyi,Yebyu,NA,NA
MMR006005,0,4,7,16,6,15,0.08941572553437045,0,0.051948051948051945,0.125,0.027777777777777776,0.17204301075268819,0.19999999999999998,0,0.05194805194805195,0.125,0.027777777777777776,0.05118145743145744,Tanintharyi,Myeik,NA,NA
MMR006006,0,0,0,2,1,0,0.00488093553565802,0,0,0.020833333333333336,0,0.021505376344086023,0,0,0,0.020833333333333332,0,0.005208333333333333,Tanintharyi,Kyunsu,NA,NA
MMR006007,14,4,0,8,12,43,0.08269480799721265,0.09150326797385619,0.051948051948051945,0.25000000000000006,0.07962962962962963,0.08602150537634409,0,0.0915032679738562,0.05194805194805195,0.25,0.07962962962962963,0.11827023738788445,Tanintharyi,Palaw,1,145
MMR006008,3,3,0,3,5,17,0.0316187967608238,0.019607843137254898,0.03896103896103897,0.10416666666666666,0.031481481481481485,0.03225806451612904,0,0.0196078431372549,0.03896103896103896,0.10416666666666667,0.03148148148148148,0.048554257561610505,Tanintharyi,Tanintharyi,NA,NA
MMR006009,0,0,4,6,3,11,0.04348640098100072,0,0,0.0625,0.020370370370370372,0.06451612903225808,0.1142857142857143,0,0,0.0625,0.020370370370370372,0.020717592592592593,Tanintharyi,Kawthoung,1,184
MMR007001,0,16,11,23,14,121,0.20092025597253138,0,0.20779220779220778,0.2916666666666667,0.2240740740740741,0.24731182795698928,0.3142857142857143,0,0.2077922077922078,0.2916666666666667,0.22407407407407406,0.18088323713323715,Bago-East,Bago,NA,NA
MMR007003,0,4,0,2,1,1,0.011683288298208647,0,0.051948051948051945,0.020833333333333336,0.0018518518518518506,0.021505376344086023,0,0,0.05194805194805195,0.020833333333333332,0.001851851851851852,0.018658309283309284,Bago-East,Kawa,1,2456
MMR007004,0,3,0,3,3,2,0.01661317521766831,0,0.03896103896103897,0.0625,0.0037037037037037095,0.03225806451612904,0,0,0.03896103896103896,0.0625,0.003703703703703704,0.026291185666185667,Bago-East,Waw,1,3758
MMR007005,5,8,2,5,2,12,0.04813753977681366,0.03267973856209149,0.10389610389610389,0.04166666666666667,0.022222222222222223,0.05376344086021506,0.05714285714285715,0.032679738562091505,0.1038961038961039,0.041666666666666664,0.022222222222222223,0.05011618283677107,Bago-East,Nyaunglebin,NA,NA
MMR007006,0,2,3,6,3,5,0.03829138494264156,0,0.025974025974025983,0.0625,0.009259259259259262,0.06451612903225808,0.08571428571428572,0,0.025974025974025976,0.0625,0.009259259259259259,0.02443332130832131,Bago-East,Kyauktaga,NA,NA
MMR007007,0,2,1,2,2,4,0.01825556443137159,0,0.025974025974025983,0.04166666666666667,0.00740740740740741,0.021505376344086023,0.028571428571428574,0,0.025974025974025976,0.041666666666666664,0.007407407407407408,0.01876202501202501,Bago-East,Daik-U,NA,NA
MMR007008,0,1,0,3,0,11,0.009264924395465366,0,0.012987012987012991,0,0.020370370370370372,0.03225806451612904,0,0,0.012987012987012988,0,0.020370370370370372,0.00833934583934584,Bago-East,Shwegyin,NA,NA
MMR007009,5,3,3,6,4,6,0.050243620266264485,0.03267973856209149,0.03896103896103897,0.08333333333333334,0.011111111111111112,0.06451612903225808,0.08571428571428572,0.032679738562091505,0.03896103896103896,0.08333333333333333,0.011111111111111112,0.04152130549189372,Bago-East,Taungoo,NA,NA
MMR007010,0,1,0,1,4,5,0.014594994516532981,0,0.012987012987012991,0.08333333333333334,0.009259259259259262,0.010752688172043019,0,0,0.012987012987012988,0.08333333333333333,0.009259259259259259,0.026394901394901395,Bago-East,Yedashe,NA,NA
MMR007011,13,6,0,6,2,52,0.06048777313828801,0.0849673202614379,0.0779220779220779,0.04166666666666667,0.0962962962962963,0.06451612903225808,0,0.08496732026143791,0.07792207792207792,0.041666666666666664,0.0962962962962963,0.0752130902866197,Bago-East,Kyaukkyi,2,4357
MMR007012,2,5,2,3,2,8,0.0349462909150724,0.013071895424836598,0.06493506493506494,0.04166666666666667,0.014814814814814814,0.03225806451612904,0.05714285714285715,0.013071895424836602,0.06493506493506493,0.041666666666666664,0.014814814814814815,0.03362211046034575,Bago-East,Phyu,NA,NA
MMR007013,0,0,0,1,1,1,0.004052627032649439,0,0,0.020833333333333336,0.0018518518518518506,0.010752688172043019,0,0,0,0.020833333333333332,0.001851851851851852,0.005671296296296296,Bago-East,Oktwin,NA,NA
MMR007014,3,2,0,1,3,14,0.021535895739661703,0.019607843137254898,0.025974025974025983,0.0625,0.025925925925925925,0.010752688172043019,0,0.0196078431372549,0.025974025974025976,0.0625,0.025925925925925925,0.0335019487593017,Bago-East,Htantabin,NA,NA
MMR008001,1,16,4,22,11,22,0.11382699676765003,0.006535947712418299,0.20779220779220778,0.22916666666666669,0.040740740740740744,0.23655913978494625,0.1142857142857143,0.006535947712418301,0.2077922077922078,0.22916666666666666,0.040740740740740744,0.12105889072800838,Bago-West,Pyay,NA,NA
MMR008002,0,0,0,1,0,0,0.001197720189975998,0,0,0,0,0.010752688172043019,0,0,0,0,0,0,Bago-West,Paukkhaung,NA,NA
MMR008003,0,5,0,9,0,0,0.018820658054262994,0,0.06493506493506494,0,0,0.09677419354838711,0,0,0.06493506493506493,0,0,0.016233766233766232,Bago-West,Padaung,NA,NA
MMR008004,1,8,0,5,8,12,0.04466920323271433,0.006535947712418299,0.10389610389610389,0.16666666666666669,0.022222222222222223,0.05376344086021506,0,0.006535947712418301,0.1038961038961039,0.16666666666666666,0.022222222222222223,0.07483023512435276,Bago-West,Paungde,NA,NA
MMR008005,0,2,0,6,1,4,0.014365933581223279,0,0.025974025974025983,0.020833333333333336,0.00740740740740741,0.06451612903225808,0,0,0.025974025974025976,0.020833333333333332,0.007407407407407408,0.013553691678691679,Bago-West,Thegon,NA,NA
MMR008006,0,1,0,0,1,1,0.004463142111569245,0,0.012987012987012991,0.020833333333333336,0.0018518518518518506,0,0,0,0.012987012987012988,0.020833333333333332,0.001851851851851852,0.008918049543049544,Bago-West,Shwedaung,NA,NA
MMR008007,0,3,0,11,0,0,0.017999627896423377,0,0.03896103896103897,0,0,0.11827956989247312,0,0,0.03896103896103896,0,0,0.00974025974025974,Bago-West,Thayarwady,NA,NA
MMR008008,0,1,0,3,1,1,0.008056302681497237,0,0.012987012987012991,0.020833333333333336,0.0018518518518518506,0.03225806451612904,0,0,0.012987012987012988,0.020833333333333332,0.001851851851851852,0.008918049543049544,Bago-West,Letpadan,NA,NA
MMR008009,0,2,0,3,0,0,0.006809631107719599,0,0.025974025974025983,0,0,0.03225806451612904,0,0,0.025974025974025976,0,0,0.006493506493506494,Bago-West,Minhla,NA,NA
MMR008010,1,0,1,2,1,1,0.012943182319382442,0.006535947712418299,0,0.020833333333333336,0.0018518518518518506,0.021505376344086023,0.028571428571428574,0.006535947712418301,0,0.020833333333333332,0.001851851851851852,0.007305283224400871,Bago-West,Okpho,NA,NA
MMR008011,0,2,0,0,0,2,0.0039552939117264395,0,0.025974025974025983,0,0.0037037037037037095,0,0,0,0.025974025974025976,0,0.003703703703703704,0.0074194324194324195,Bago-West,Zigon,NA,NA
MMR008012,2,3,0,3,3,6,0.02108645925035944,0.013071895424836598,0.03896103896103897,0.0625,0.011111111111111112,0.03225806451612904,0,0.013071895424836602,0.03896103896103896,0.0625,0.011111111111111112,0.031411011374246664,Bago-West,Nattalin,NA,NA
